library_id,name,street,city,state,zip,latitude,longitude,full_address
9898119590,Bremer Pond Memorial Library,12 School Street,Pittsburg,NH,03592,45.052127,-71.390467,"12 School Street, Pittsburg, NH, 03592"
5835225817,Randolph Public Library,130 Durand Road,Randolph,NH,03593,44.375237,-71.282404,"130 Durand Road, Randolph, NH, 03593"
366494978,Pillsbury Free Library,18 East Main Street,Warner,NH,03278,43.280092,-71.815498,"18 East Main Street, Warner, NH, 03278"
7415806097,Whitefield Public Library,8 Lancaster Road,Whitefield,NH,03598,44.373930,-71.610724,"8 Lancaster Road, Whitefield, NH, 03598"
8893106777,Avalon Free Public Library,235 32nd Street,Avalon,NJ,08202,39.095362,-74.725082,"235 32nd Street, Avalon, NJ, 08202"
12565902868,Bay Head Reading Center,83 Bridge Avenue,Bay Head,NJ,08742,40.069345,-74.050283,"83 Bridge Avenue, Bay Head, NJ, 08742"
8840487683,Beachwood Branch Library,126 Beachwood Boulevard,Beachwood,NJ,08722,39.939880,-74.191159,"126 Beachwood Boulevard, Beachwood, NJ, 08722"
11120957395,Little Free Library,55 Fairfax Drive,Berkeley Heights,NJ,07922,40.668456,-74.451365,"55 Fairfax Drive, Berkeley Heights, NJ, 07922"
11040584426,Little Free Library,83 Meadow Road,Clark,NJ,07066,40.614177,-74.330359,"83 Meadow Road, Clark, NJ, 07066"
367692554,North County Branch Hunterdon County Library,69 Halstead Street,Clinton,NJ,08809,40.643471,-74.912342,"69 Halstead Street, Clinton, NJ, 08809"
10896458693,Little Free Library,39 North Lenhome Drive,Cranford,NJ,07016,40.644998,-74.307560,"39 North Lenhome Drive, Cranford, NJ, 07016"
10896503564,Little Free Library,421 Denman Road,Cranford,NJ,07016,40.641145,-74.312943,"421 Denman Road, Cranford, NJ, 07016"
10935065238,Little Free Library,104 Hampton Street,Cranford,NJ,07016,40.659027,-74.310584,"104 Hampton Street, Cranford, NJ, 07016"
10942793185,Little Free Library,102 Centennial Avenue,Cranford,NJ,07016,40.653580,-74.298970,"102 Centennial Avenue, Cranford, NJ, 07016"
10984292351,Little Free Library,20 20 Burchfield Avenue,Cranford,NJ,07016,40.653962,-74.295825,"20 20 Burchfield Avenue, Cranford, NJ, 07016"
11077236445,Little Free Library,102 Holly Street,Cranford,NJ,07016,40.657198,-74.307408,"102 Holly Street, Cranford, NJ, 07016"
11098190038,Little Free Library,464 Orchard Street,Cranford,NJ,07016,40.661352,-74.317863,"464 Orchard Street, Cranford, NJ, 07016"
11121022802,Little Free Library,42 Hillcrest Avenue,Cranford,NJ,07016,40.649599,-74.311993,"42 Hillcrest Avenue, Cranford, NJ, 07016"
4684538917,Atlantic County Library - Egg Harbor City Branch,134 Philadelphia Avenue,Egg Harbor City,NJ,08215,39.529415,-74.646440,"134 Philadelphia Avenue, Egg Harbor City, NJ, 08215"
11038395164,Hollowbrook Branch,320 Hollowbrook Drive,Ewing,NJ,08638,40.265040,-74.770200,"320 Hollowbrook Drive, Ewing, NJ, 08638"
11061813019,La Grande Park Free Little Library,La Grande Avenue & 2nd Street,Fanwood,NJ,07023,40.638627,-74.384267,"La Grande Avenue & 2nd Street, Fanwood, NJ, 07023"
10896514801,Little Free Library,601 Center Street,Garwood,NJ,07027,40.647482,-74.323852,"601 Center Street, Garwood, NJ, 07027"
10896528737,Little Free Library,500 West Street,Garwood,NJ,07027,40.647992,-74.327030,"500 West Street, Garwood, NJ, 07027"
11178765860,Little Free Library,706 4th Avenue,Garwood,NJ,07090,40.653930,-74.331971,"706 4th Avenue, Garwood, NJ, 07090"
10245969515,Guttenberg Resource Center,7002 John F. Kennedy Boulevard East,Guttenberg,NJ,07093,40.790706,-74.000159,"7002 John F. Kennedy Boulevard East, Guttenberg, NJ, 07093"
6970267372,Hillsborough Library,379 South Branch Road,Hillsborough,NJ,08844,40.506631,-74.675124,"379 South Branch Road, Hillsborough, NJ, 08844"
9072423175,Holmdel Library and Learning Center,101 Crawfords Corner Rd,Holmdel,NJ,07733,40.364668,-74.166390,"101 Crawfords Corner Rd, Holmdel, NJ, 07733"
10726449507,Jersey City Free Public Library,326 8th Street,Jersey City,NJ,07302,40.727307,-74.047948,"326 8th Street, Jersey City, NJ, 07302"
12009917549,Old Bridge Public Library - Laurence Harbor Branch,302 Laurence Parkway,Laurence Harbor,NJ,08879,40.457564,-74.246729,"302 Laurence Parkway, Laurence Harbor, NJ, 08879"
11111983247,Linden Care Box,300 Edgewood Road,Linden,NJ,07036,40.637962,-74.275018,"300 Edgewood Road, Linden, NJ, 07036"
10253351862,Lyndhurst Public Library,355 Valley Brook Avenue,Lyndhurst,NJ,07071,40.812630,-74.124949,"355 Valley Brook Avenue, Lyndhurst, NJ, 07071"
306074922,Atlantic County Library - Mays Landing Branch,40 Farragut Avenue,Mays Landing,NJ,08330,39.450846,-74.725466,"40 Farragut Avenue, Mays Landing, NJ, 08330"
6368608480,Montville Township Public Library,90 Horseneck Road,Montville,NJ,07045,40.892298,-74.358473,"90 Horseneck Road, Montville, NJ, 07045"
5384027889,North Bergen Free Public Library Kennedy Branch,2123 John F. Kennedy Boulevard,North Bergen,NJ,07047,40.769079,-74.040227,"2123 John F. Kennedy Boulevard, North Bergen, NJ, 07047"
367692580,Oradell Free Public Library,375 Kinderkamack Road,Oradell,NJ,07649,40.953649,-74.032083,"375 Kinderkamack Road, Oradell, NJ, 07649"
11914102713,Orange Public Library,348 Main Street,Orange,NJ,07050-3605,40.772530,-74.231463,"348 Main Street, Orange, NJ, 07050-3605"
367692640,Paramus Public Library,116 E Century Road,Paramus,NJ,07652,40.926389,-74.060556,"116 E Century Road, Paramus, NJ, 07652"
6368608476,Parsippany - Troy Hills Public Library,449 Halsey Road,Parsippany-Troy Hills,NJ,07054,40.852877,-74.452838,"449 Halsey Road, Parsippany-Troy Hills, NJ, 07054"
10895056017,South County Branch Library,1108 Old York Road,Ringoes,NJ,,40.426165,-74.867538,"1108 Old York Road, Ringoes, NJ"
1934585369,Tinton Falls Library,664 Tinton Avenue,Tinton Falls,NJ,07724,40.302373,-74.098321,"664 Tinton Avenue, Tinton Falls, NJ, 07724"
7636398944,Briggs Branch Library,1115 Greenwood Avenue,Trenton,NJ,08608,40.223280,-74.738030,"1115 Greenwood Avenue, Trenton, NJ, 08608"
486817537,Atlantic County Library - Ventnor Branch,6500 Atlantic Avenue,Ventnor,NJ,08406,39.335900,-74.482441,"6500 Atlantic Avenue, Ventnor, NJ, 08406"
4631205264,Cape May County Library - Lower Cape Branch,2600 Bayshore Rd,Villas,NJ,08251,39.010201,-74.938563,"2600 Bayshore Rd, Villas, NJ, 08251"
